_id,user_id,crawl_time,created_at,like_num,repost_num,comment_num,content,origin_weibo,geo_info,hashtags,fans_num,community,community_
Ir02dbtEB,3bab83dd035e8328,1587803032,2020-01-24 20:03,0,0,0,#共渡难关武汉加油#【#武汉小汤山定名火神山医院#  现场航拍曝光】“武汉将在2月3日前建设一座‘小汤山’，阻击肺炎疫情蔓延！”1月23日下午，武汉市城建局紧急召集中建三局等单位举行专题会议，要求参照2003年抗击非典期间北京小汤山医院模式，在武汉职工疗养院建设一座专门医院——武汉蔡甸火神山医院，集中收治新型冠状病毒肺炎患者。医院建筑面积2.5万平方米，可容纳1000张床位，由中建三局牵头，武汉建工、武汉市政、汉阳市政等3家企业参与。疫情就是命令，现场就是战场，提前一分钟交工，就能提前一分钟遏制疫情蔓延！  http://t.cn/A6PUDpkT转发理由:转发微博,Ir00ghfsd,,"['#共渡难关武汉加油#', '#武汉小汤山定名火神山医院#']",107,{'Community 5': 2},2
Ir0MDvOUc,e803b0e0dc7c64c9,1590267785,2020-01-24 21:58,0,0,0,#共渡难关武汉加油# 关注了这么多天，不停的刷新闻，终于有了一条又一条的好消息，火神山在建了，援助医护人员和医疗用品到了，有被不停封锁的消息，更有了武汉人的积极顽强。除夕夜里，我每分每秒关心着你们，全国人民关心着你们。说好了，等“春天”来了，我来武汉找你们，加油啊。,,,['#共渡难关武汉加油#'],94,{'Community 5': 1},1
Ir178r4D2,54452d3b526eb94e,1587766875,2020-01-24 22:48,0,0,0,#共渡难关武汉加油#【武汉火神山医院雨水污水垃圾单独处理不排湖】据悉，武汉火神山医院位于知音湖畔。知音湖并非武汉水源地，即便如此，医院的施工建设及后期使用也严格不造成环境污染。该医院依据《传染病医院建设标准》实施，包括基础工程、土建、给排水及消防系统、供配电系统、照明与监控、通风空调系统、通信弱电、医用气体工程、净化工程、室外及市政配套、污水处理设施。据建设方介绍，该医院污水、雨水、医疗垃圾均单独收集处理，不会排湖，不会污染环境。其中，污水、雨水收集处理达标后，再进入市政管网，而医疗垃圾收集起来后将运至专门的医学废弃物处理厂。医院建成后将集中收治新型冠状病毒肺炎患者，切实起到隔离病毒的作用。（长江日报）转发理由:转发微博,Ir119kd7Q,,['#共渡难关武汉加油#'],100,{'Community 5': 1},1
Ir1nG8lSK,c392bf9076174634,1590480412,2020-01-24 23:29,0,0,0,#共渡难关武汉加油#【#武汉小汤山定名火神山医院#  现场航拍曝光】“武汉将在2月3日前建设一座‘小汤山’，阻击肺炎疫情蔓延！”1月23日下午，武汉市城建局紧急召集中建三局等单位举行专题会议，要求参照2003年抗击非典期间北京小汤山医院模式，在武汉职工疗养院建设一座专门医院——武汉蔡甸火神山医院，集中收治新型冠状病毒肺炎患者。医院建筑面积2.5万平方米，可容纳1000张床位，由中建三局牵头，武汉建工、武汉市政、汉阳市政等3家企业参与。疫情就是命令，现场就是战场，提前一分钟交工，就能提前一分钟遏制疫情蔓延！  http://t.cn/A6PUDpkT转发理由:转发微博,Ir00ghfsd,,"['#共渡难关武汉加油#', '#武汉小汤山定名火神山医院#']",178,{'Community 5': 2},2
Ir1Ld0c3U,c1a5f4f0c14a43b2,1590727865,2020-01-25 00:27,1,0,0,#共渡难关武汉加油#【#武汉小汤山定名火神山医院#  现场航拍曝光】“武汉将在2月3日前建设一座‘小汤山’，阻击肺炎疫情蔓延！”1月23日下午，武汉市城建局紧急召集中建三局等单位举行专题会议，要求参照2003年抗击非典期间北京小汤山医院模式，在武汉职工疗养院建设一座专门医院——武汉蔡甸火神山医院，集中收治新型冠状病毒肺炎患者。医院建筑面积2.5万平方米，可容纳1000张床位，由中建三局牵头，武汉建工、武汉市政、汉阳市政等3家企业参与。疫情就是命令，现场就是战场，提前一分钟交工，就能提前一分钟遏制疫情蔓延！  http://t.cn/A6PUDpkT转发理由:转发微博,Ir1DoBgZV,,"['#共渡难关武汉加油#', '#武汉小汤山定名火神山医院#']",421,{'Community 5': 2},2
Ir1LPEfby,c595dd93ef9360dc,1587966824,2020-01-25 00:28,2,0,0,#共渡难关武汉加油#【武汉火神山医院雨水污水垃圾单独处理不排湖】据悉，武汉火神山医院位于知音湖畔。知音湖并非武汉水源地，即便如此，医院的施工建设及后期使用也严格不造成环境污染。该医院依据《传染病医院建设标准》实施，包括基础工程、土建、给排水及消防系统、供配电系统、照明与监控、通风空调系统、通信弱电、医用气体工程、净化工程、室外及市政配套、污水处理设施。据建设方介绍，该医院污水、雨水、医疗垃圾均单独收集处理，不会排湖，不会污染环境。其中，污水、雨水收集处理达标后，再进入市政管网，而医疗垃圾收集起来后将运至专门的医学废弃物处理厂。医院建成后将集中收治新型冠状病毒肺炎患者，切实起到隔离病毒的作用。（长江日报）转发理由:火神山医院污水垃圾不会排湖，不会污染水体,Ir119kd7Q,,['#共渡难关武汉加油#'],303,{'Community 5': 1},1
Ir1UvtE6Q,25626afc5afccc9c,1590141935,2020-01-25 00:50,0,0,0,#共渡难关武汉加油#【武汉火神山医院雨水污水垃圾单独处理不排湖】据悉，武汉火神山医院位于知音湖畔。知音湖并非武汉水源地，即便如此，医院的施工建设及后期使用也严格不造成环境污染。该医院依据《传染病医院建设标准》实施，包括基础工程、土建、给排水及消防系统、供配电系统、照明与监控、通风空调系统、通信弱电、医用气体工程、净化工程、室外及市政配套、污水处理设施。据建设方介绍，该医院污水、雨水、医疗垃圾均单独收集处理，不会排湖，不会污染环境。其中，污水、雨水收集处理达标后，再进入市政管网，而医疗垃圾收集起来后将运至专门的医学废弃物处理厂。医院建成后将集中收治新型冠状病毒肺炎患者，切实起到隔离病毒的作用。（长江日报）转发理由:疫情凶猛！网络上难免有很多人带节奏，其实真的实地了解过吗？这不一定。我们唯一能做的就是不信谣，不传谣。,Ir119kd7Q,,['#共渡难关武汉加油#'],51,{'Community 5': 1},1
Ir3q6ABzD,3b403093bfd40453,1590393715,2020-01-25 04:40,0,0,0,#共渡难关武汉加油#【#武汉小汤山定名火神山医院#  现场航拍曝光】“武汉将在2月3日前建设一座‘小汤山’，阻击肺炎疫情蔓延！”1月23日下午，武汉市城建局紧急召集中建三局等单位举行专题会议，要求参照2003年抗击非典期间北京小汤山医院模式，在武汉职工疗养院建设一座专门医院——武汉蔡甸火神山医院，集中收治新型冠状病毒肺炎患者。医院建筑面积2.5万平方米，可容纳1000张床位，由中建三局牵头，武汉建工、武汉市政、汉阳市政等3家企业参与。疫情就是命令，现场就是战场，提前一分钟交工，就能提前一分钟遏制疫情蔓延！  http://t.cn/A6PUDpkT转发理由:转发微博,Ir00ghfsd,,"['#共渡难关武汉加油#', '#武汉小汤山定名火神山医院#']",138,{'Community 5': 2},2
Ir4KbzDfC,2f2e9f9ceb43ce31,1590760212,2020-01-25 08:03,0,0,0,#共渡难关武汉加油#【特殊会战：最快速度建成武汉小汤山】武汉市蔡甸区知音湖大道武汉职工疗养院旁，一场特殊的“会战”正在进行：力争10天建起武汉版的“小汤山”应急工程——武汉火神山医院。42岁的余南山正在现场指挥作业，至24日上午他已连续工作10多个小时了。许多同事主动打来电话，请求参与此次施工任务。这让他非常感动。http://t.cn/A6PbbikQ #我在武汉过大年# http://t.cn/A6PbbSTX转发理由:所有一线人都辛苦了，武汉加油。,Ir4JJtQFe,,"['#共渡难关武汉加油#', '#我在武汉过大年#']",504,{'Community 5': 2},2
Ir4PQBSPc,0ac479496d89e861,1590201401,2020-01-25 08:17,0,0,0,#共渡难关武汉加油#【特殊会战：最快速度建成武汉小汤山】武汉市蔡甸区知音湖大道武汉职工疗养院旁，一场特殊的“会战”正在进行：力争10天建起武汉版的“小汤山”应急工程——武汉火神山医院。42岁的余南山正在现场指挥作业，至24日上午他已连续工作10多个小时了。许多同事主动打来电话，请求参与此次施工任务。这让他非常感动。http://t.cn/A6PbbikQ #我在武汉过大年# http://t.cn/A6PbbSTX转发理由:转发微博,Ir4JJtQFe,,"['#共渡难关武汉加油#', '#我在武汉过大年#']",71,{'Community 5': 2},2
