_id,user_id,crawl_time,created_at,like_num,repost_num,comment_num,content,origin_weibo,geo_info,hashtags,fans_num,community,community_
IqP1UfLPv,014a799cb828b5ec,1588004219,2020-01-23 16:02,0,0,0,【转发，扩散[话筒]#武大人民医院急需防护物资#、#武大中南医院急需防护物资# 、#武汉24小时捐赠电话# #武汉雷神山医院急需防护物资# 】愿有相关资源的社会人士能伸出援手，共同为武汉加油! 详细清单、地址、联系方式见图↓↓↓#武汉加油# #武汉新冠肺炎社会捐赠方式# 转发理由:转发微博,IqP1NqCoB,,"['#武大人民医院急需防护物资#', '#武大中南医院急需防护物资#', '#武汉24小时捐赠电话#', '#武汉雷神山医院急需防护物资#', '#武汉加油#', '#武汉新冠肺炎社会捐赠方式#']",405,{'Community 3': 6},6
IqP28mCwf,c8d306f3e1258b08,1590326773,2020-01-23 16:03,0,0,0,【转发，扩散[话筒]#武大人民医院急需防护物资#、#武大中南医院急需防护物资# 、#武汉24小时捐赠电话# #武汉雷神山医院急需防护物资# 】愿有相关资源的社会人士能伸出援手，共同为武汉加油! 详细清单、地址、联系方式见图↓↓↓#武汉加油# #武汉新冠肺炎社会捐赠方式# 转发理由:转发微博,IqP1NqCoB,,"['#武大人民医院急需防护物资#', '#武大中南医院急需防护物资#', '#武汉24小时捐赠电话#', '#武汉雷神山医院急需防护物资#', '#武汉加油#', '#武汉新冠肺炎社会捐赠方式#']",114,{'Community 3': 6},6
IqP2g5iCY,528ababce48099d2,1587953024,2020-01-23 16:03,0,1,0,【转发，扩散[话筒]#武大人民医院急需防护物资#、#武大中南医院急需防护物资# 、#武汉24小时捐赠电话# #武汉雷神山医院急需防护物资# 】愿有相关资源的社会人士能伸出援手，共同为武汉加油! 详细清单、地址、联系方式见图↓↓↓#武汉加油# #武汉新冠肺炎社会捐赠方式# 转发理由:武汉加油,IqP1NqCoB,,"['#武大人民医院急需防护物资#', '#武大中南医院急需防护物资#', '#武汉24小时捐赠电话#', '#武汉雷神山医院急需防护物资#', '#武汉加油#', '#武汉新冠肺炎社会捐赠方式#']",285,{'Community 3': 6},6
IqP2lFBTh,307f5561fede37ca,1590684427,2020-01-23 16:03,0,0,0,【转发，扩散[话筒]#武大人民医院急需防护物资#、#武大中南医院急需防护物资# 、#武汉24小时捐赠电话# #武汉雷神山医院急需防护物资# 】愿有相关资源的社会人士能伸出援手，共同为武汉加油! 详细清单、地址、联系方式见图↓↓↓#武汉加油# #武汉新冠肺炎社会捐赠方式# 转发理由:转发微博,IqP1NqCoB,,"['#武大人民医院急需防护物资#', '#武大中南医院急需防护物资#', '#武汉24小时捐赠电话#', '#武汉雷神山医院急需防护物资#', '#武汉加油#', '#武汉新冠肺炎社会捐赠方式#']",344,{'Community 3': 6},6
IqP2bECWD,2f3b321dab4d7ca7,1590830155,2020-01-23 16:03,1,0,0,【转发，扩散[话筒]#武大人民医院急需防护物资#、#武大中南医院急需防护物资# 、#武汉24小时捐赠电话# #武汉雷神山医院急需防护物资# 】愿有相关资源的社会人士能伸出援手，共同为武汉加油! 详细清单、地址、联系方式见图↓↓↓#武汉加油# #武汉新冠肺炎社会捐赠方式# 转发理由:转发微博,IqP1NqCoB,,"['#武大人民医院急需防护物资#', '#武大中南医院急需防护物资#', '#武汉24小时捐赠电话#', '#武汉雷神山医院急需防护物资#', '#武汉加油#', '#武汉新冠肺炎社会捐赠方式#']",899,{'Community 3': 6},6
IqP2abYdg,0e3ef2e0ce5b556d,1590437835,2020-01-23 16:03,1,0,0,【转发，扩散[话筒]#武大人民医院急需防护物资#、#武大中南医院急需防护物资# 、#武汉24小时捐赠电话# #武汉雷神山医院急需防护物资# 】愿有相关资源的社会人士能伸出援手，共同为武汉加油! 详细清单、地址、联系方式见图↓↓↓#武汉加油# #武汉新冠肺炎社会捐赠方式# 转发理由:转发微博,IqP1NqCoB,,"['#武大人民医院急需防护物资#', '#武大中南医院急需防护物资#', '#武汉24小时捐赠电话#', '#武汉雷神山医院急需防护物资#', '#武汉加油#', '#武汉新冠肺炎社会捐赠方式#']",158,{'Community 3': 6},6
IqP2Kgt3K,369ca75e620838f6,1590147979,2020-01-23 16:04,0,0,0,【转发，扩散[话筒]#武大人民医院急需防护物资#、#武大中南医院急需防护物资# 、#武汉24小时捐赠电话# #武汉雷神山医院急需防护物资# 】愿有相关资源的社会人士能伸出援手，共同为武汉加油! 详细清单、地址、联系方式见图↓↓↓#武汉加油# #武汉新冠肺炎社会捐赠方式# 转发理由:转发微博,IqP1NqCoB,,"['#武大人民医院急需防护物资#', '#武大中南医院急需防护物资#', '#武汉24小时捐赠电话#', '#武汉雷神山医院急需防护物资#', '#武汉加油#', '#武汉新冠肺炎社会捐赠方式#']",53,{'Community 3': 6},6
IqP2rB4hU,4e105532c6d036c8,1590221238,2020-01-23 16:04,0,0,0,【转发，扩散[话筒]#武大人民医院急需防护物资#、#武大中南医院急需防护物资# 、#武汉24小时捐赠电话# #武汉雷神山医院急需防护物资# 】愿有相关资源的社会人士能伸出援手，共同为武汉加油! 详细清单、地址、联系方式见图↓↓↓#武汉加油# #武汉新冠肺炎社会捐赠方式# 转发理由:转发微博,IqP1NqCoB,,"['#武大人民医院急需防护物资#', '#武大中南医院急需防护物资#', '#武汉24小时捐赠电话#', '#武汉雷神山医院急需防护物资#', '#武汉加油#', '#武汉新冠肺炎社会捐赠方式#']",78,{'Community 3': 6},6
IqP2uAxqa,6cc0855d35c67917,1590373560,2020-01-23 16:04,0,0,0,【转发，扩散[话筒]#武大人民医院急需防护物资#、#武大中南医院急需防护物资# 、#武汉24小时捐赠电话# #武汉雷神山医院急需防护物资# 】愿有相关资源的社会人士能伸出援手，共同为武汉加油! 详细清单、地址、联系方式见图↓↓↓#武汉加油# #武汉新冠肺炎社会捐赠方式# 转发理由://@你亲爱的乙方爸爸 :🙏🙏🙏🙏🙏,IqP1NqCoB,,"['#武大人民医院急需防护物资#', '#武大中南医院急需防护物资#', '#武汉24小时捐赠电话#', '#武汉雷神山医院急需防护物资#', '#武汉加油#', '#武汉新冠肺炎社会捐赠方式#']",130,{'Community 3': 6},6
IqP2z0rZk,8b475177116ee93f,1587873788,2020-01-23 16:04,0,0,0,【转发，扩散[话筒]#武大人民医院急需防护物资#、#武大中南医院急需防护物资# 、#武汉24小时捐赠电话# #武汉雷神山医院急需防护物资# 】愿有相关资源的社会人士能伸出援手，共同为武汉加油! 详细清单、地址、联系方式见图↓↓↓#武汉加油# #武汉新冠肺炎社会捐赠方式# 转发理由:转发微博,IqP1NqCoB,,"['#武大人民医院急需防护物资#', '#武大中南医院急需防护物资#', '#武汉24小时捐赠电话#', '#武汉雷神山医院急需防护物资#', '#武汉加油#', '#武汉新冠肺炎社会捐赠方式#']",177,{'Community 3': 6},6
