_id,user_id,crawl_time,created_at,like_num,repost_num,comment_num,content,origin_weibo,geo_info,hashtags,fans_num,community,community_
Ir0Ugiyj8,25d81cddc2f7a4b9,1588027221,2020-01-24 22:17,0,0,0,武汉蔡甸火神山医院#小汤山#   这个除夕，他们奋战在“武汉小汤山”医院紧急援建现场！。  #全国确诊新型肺炎病例##健康发布# 转发理由:牛逼！,Ir01CcaMC,,"['#小汤山#', '#全国确诊新型肺炎病例#', '#健康发布#']",618,"{'Community 9': 2, 'Community 2': 1}",2
Ir2jSD45p,7bc99db024f95b49,1590559479,2020-01-25 01:52,1,0,0,这不是游戏截图，而是#基建狂魔#进击的瞬间，向@中国建筑 等单位致敬！ 共青团中央的微博视频 #众志成城抗疫情# 转发理由:集中力量办大事 是实打实的制度优越性 各方都在努力 17年前的七天七夜可以有一座小汤山医院 17年后的火神山医院也会如此 甚至会更好 武汉加油！,IqY7htb9t,,"['#基建狂魔#', '#众志成城抗疫情#']",225,{'Community 9': 2},2
Ir5EqohPL,5410cef4407b0093,1588039749,2020-01-25 10:21,0,0,0,#火神山#武汉加油         实在没有什么心情给大家拜年，从武汉肺炎的第一天始，所有的消息都让泪水在眼眶打转。“中国人总是被他们之中最勇敢的人保护的很好。”可是我们不能让他们寒心啊！我们能做的不多，在家过春节，不要走亲访友，外出必戴口罩；既然没有能力勇敢的奔赴前线，有能力就捐点钱，默默的为同胞们祈祷🙏🏻，都是一家人！待春暖花开之时，我们都可以走上街头，不用口罩，繁花与共！        最后希望大家双肺纹理走形、分布正常，肺内未见实质性病灶，肺门不大，纵膈居中，心影不大，膈面光整肋膈角锐利。血尿常规正常，CRP正常，核酸检测阴性，鼠年新春快乐。 http://t.cn/A6PGXAsU http://t.cn/zQDINcb,,,['#火神山#'],883,{'Community 9': 1},1
Ir5XFhQsp,15b70ab528b9cd43,1590602167,2020-01-25 11:09,2,0,0,#新型冠状病毒# 通过此事件，强烈建议每个省省会城市和有条件的市，建立“小汤山”和“火神山”类似的传染病医院，平日里可能没什么用，还得花费维护费用，但是一旦有突发事件，就起大作用了，将其作为预警应急预案的一部分，基本设备和药物也储备。随着日新月异的社会发展，很难保证不会再有第三次，第四次病毒🦠，到时可以极大的保证人民群众生命财产，已最小代价抗击突发事件，不至于措手不及，支持的请顶上去,,,['#新型冠状病毒#'],257,{'Community 9': 1},1
Ir7hjnl2H,4858c668ba27a156,1590527844,2020-01-25 14:30,1,0,0,佑我楚人🙏 #火神山#,,,['#火神山#'],204,{'Community 9': 1},1
Ir8cS2erY,fd31d468c9f9db8d,1587929560,2020-01-25 16:52,1,0,0,【#武汉中心城区实行机动车禁行#】武汉市新型肺炎防控指挥部通报， 为控制人员流动引发的传染风险，自2020年1月26日0时始，除经许可的保供运输车、免费交通车、公务用车外，中心城区区域实行机动车禁行管理。市民确有通行需求的，按指挥部第8号通告执行，各社区配备足够车辆保障需求。（总台央视记者倪晶依）转发理由:医护人员怎么上下班？熬通宵给火神山做设计的工作人员怎么上下班？发热患者怎么去医院？周边没有超市快递又都停了的家庭怎么买菜和日用品？一个社区两三台出租车和一台没有有什么区别？,Ir7OUhCKW,,['#武汉中心城区实行机动车禁行#'],234,{'Community 9': 1},1
Ir8ip6129,7a2f05d96cf9b708,1590770413,2020-01-25 17:05,0,0,0,大年初一，火神山的建设者他们还在奋斗！你们辛苦了，请一定做好防护，安全归来！🙏 我们过了一个非同寻常的、令人终生难忘的春节！在我们守在电视机前，合家团聚的时刻，他们正在奔赴武汉前线，各地的物资也会源源不断地运往灾区！这就是我们国家无可比拟的优越性！我们一定行，我们一定赢！#武汉中心城区实行机动车禁行##一级响应是什么# http://t.cn/A6PqSa4d转发理由:一定要赶快赢得胜利啊,Ir8hpjbtA,,"['#武汉中心城区实行机动车禁行#', '#一级响应是什么#']",537,{'Community 9': 2},2
Ir8oLj051,c5719b275894f789,1590199633,2020-01-25 17:21,0,0,0,#武汉将建雷神山医院#【#武汉将再建一个小汤山医院# 新增床位1300张】人民日报记者贺广华 田豆豆消息：今天下午3点半，武汉市防疫指挥部举行调度会，决定在武汉蔡甸火神山医院之外，半个月之内再建一所“小汤山医院”——武汉雷神山医院，新增床位1300张。 转发理由:加油加油,Ir8oqjbZI,,"['#武汉将建雷神山医院#', '#武汉将再建一个小汤山医院#']",71,{'Community 9': 2},2
Ir8oFnh0s,fe5223fffef77cbe,1590210323,2020-01-25 17:21,0,0,0,#武汉将建雷神山医院#【#武汉将再建一个小汤山医院# 新增床位1300张】人民日报记者贺广华 田豆豆消息：今天下午3点半，武汉市防疫指挥部举行调度会，决定在武汉蔡甸火神山医院之外，半个月之内再建一所“小汤山医院”——武汉雷神山医院，新增床位1300张。 转发理由:转发微博,Ir8oqjbZI,,"['#武汉将建雷神山医院#', '#武汉将再建一个小汤山医院#']",74,{'Community 9': 2},2
Ir8oLgQjU,8c6ce9e5c7e98801,1590300530,2020-01-25 17:21,0,0,0,#武汉将建雷神山医院#【#武汉将再建一个小汤山医院# 新增床位1300张】人民日报记者贺广华 田豆豆消息：今天下午3点半，武汉市防疫指挥部举行调度会，决定在武汉蔡甸火神山医院之外，半个月之内再建一所“小汤山医院”——武汉雷神山医院，新增床位1300张。 转发理由:转发微博,Ir8oqjbZI,,"['#武汉将建雷神山医院#', '#武汉将再建一个小汤山医院#']",105,{'Community 9': 2},2
